way,node
2569,382017
2569,1836953770
2569,505820718
2570,361709
2570,2499743270
2570,361733
2573,361795
2573,1928023436
2573,506391462
2573,1928023437
2573,361744
2573,1928023435
2573,506391463
2573,1928023433
2573,15859522
2573,1928023431
2573,506391464
2573,1928023429
2573,361745
2573,1928023421
2573,426157576
2573,1928023430
2573,506391461
2573,1928023432
2573,361746
2573,1928023434
2573,361795
2574,368081
2574,2689407114
2574,15378840
2574,1252383318
2574,15378841
2574,2689407087
2574,368082
286314,218267571
286314,376059014
286314,2734148912
286314,2035302
286537,382062
286537,2734148976
286537,382063
286537,2734148989
286537,694644868
286537,382064
286537,2734148994
286537,694644710
286537,557406075
286537,382066
286537,696051707
286537,382067
286538,382067
286538,696050839
286539,382071
286539,2734148928
286539,382072
286539,2734148915
286539,2734148897
286539,382073
286539,2235457907
286539,376059011
286539,382074
286540,382077
286540,2734148945
286540,2734148938
286540,382080
286540,2734148936
286540,2734148925
286540,382081
286540,2734148923
286540,2035302
286541,382077
286541,2734148948
286541,382079
286541,2734148969
286541,382078
286541,2734148971
286541,382082
286541,2734148981
286541,382076
286543,382064
286543,2734148991
286543,2734148986
286543,382076
286544,368125
286544,218251013
286546,382064
286546,247596080
286547,382082
286547,2734148979
286547,2734148958
286547,382068
286548,382079
286548,2734148941
286548,382070
286549,382062
286549,2734148961
286549,2734148951
286549,382077
286549,2734148944
286549,2235441098
286549,382071
286550,368145
286550,1847277815
286550,2235441094
286550,247631372
286551,382062
286551,2294033343
286551,2294033344
286551,178803766
286552,382072
286552,2734148920
286552,2734148934
286552,382080
286552,2734148939
286552,382061
286553,382073
286553,2734148899
286553,1597826738
286554,368146
286554,25101546
286555,247431296
286555,382074
1345035,361747
1345035,1920074474
1345035,2625387002
1345035,361744
1881555,792981
1881555,2349988231
1881555,792983
1881555,2349988240
1881555,792984
1881555,924231431
1881555,792979
1881555,924231480
1881555,792980
1881555,2584370720
1881555,644159
1881555,924231444
1881555,2584370715
1881555,792982
1881555,924231508
1881555,506368909
1881555,2349988230
1881555,792981
1881556,1689029
1881556,2602173255
1881556,15035576
1881556,410319384
1881556,641789033
1881556,2470871620
1881556,2608062809
1881556,15035575
2114249,361041
2114249,3106779506
2114249,2458010979
2114249,25034117
2114251,25101543
2114251,664256922
2114252,361059
2114252,2458000967
2114252,25034403
3127158,256589459
3127158,2358813288
3127158,175016228
3127161,130099224
3127161,2572123477
3127161,1498968368
3127175,367987
3127175,616877666
3127175,2284436506
3127175,247348743
3127176,420673782
3127176,1498644888
3127176,130100102
3127176,2559177756
3127176,1334906646
3127176,332481347
3127176,248494025
3127176,207281263
3127176,14950166
3127178,259039022
3127178,268223910
3127178,246651554
3127178,704780
3127185,390044
3127185,1600999322
3127185,2881900494
3127185,390056
3127185,1784413159
3127185,1784413153
3127185,390034
3127185,1784416564
3127185,1376013698
3127185,1286571454
3127185,2881900497
3127185,1784416563
3127185,24664155
3127185,2882611758
3127185,257033087
3127186,130099877
3127186,1498644926
3127186,1498644947
3127186,420673781
3127186,2572180447
3127186,260818339
3127186,2572180448
3127186,1498644965
3127186,1498644959
3127186,2572123465
3127186,2572123468
3127186,1499029749
3127191,390035
3127191,1784413101
3127191,654140985
3127191,1376013671
3127191,654140987
3127191,1784413131
3127191,368011
3127196,707939189
3127196,707939435
3127196,2415320559
3127196,707940964
3127196,24909866
3164505,15127458
3164505,15130568
3164505,15130569
3164505,15130570
3164505,15130572
3164505,15130574
3164505,15130576
3164505,408770901
3164505,1271987602
3164505,408770902
3164505,409291434
3164505,1960608881
3164505,429173855
3189626,15435641
3189626,2176440381
3496759,332431660
3496759,17335146
3496759,1721218994
3496759,1721218992
3496759,884203682
3496759,94188138
3498991,216046345
3498991,216046349
3498991,948152369
3498991,17348295
3498991,216046352
3498991,331946253
3498992,331419425
3498992,268060134
3498992,600018699
3498992,17348336
3498992,17348337
3498992,17348332
3599144,368322
3599144,833399694
3599144,1534568367
3599144,2880104581
3599144,1534568331
3599144,661222
3599326,366595
3599326,3375711592
3599326,382026
3599327,360932
3599327,2301475345
3599327,2301459210
3599327,253316556
3599327,2531553612
3599327,2301459205
3599327,361704
3599341,382021
3599341,2720107686
3599341,1771871141
3599341,2814207468
3599341,2814207450
3599341,703719640
3599341,382019
3599341,253318996
3599341,168356762
3599341,2329369279
3599341,259645993
3599341,253319168
3599341,2537258531
3599341,2375364282
3599341,7304705
3599341,2375364283
3599341,15035558
3599341,2301459196
3599341,2301459198
3599341,506307857
3599341,2301459201
3599341,361704
3630515,361715
3630515,1920074453
3630515,361740
