way,node
5004035,33242031
5004035,65292114
5071582,29892598
5071582,432660001
5071582,1659365989
7373728,54763573
7373728,768247526
7373728,768247523
7373728,768247524
7373728,65293797
7373736,54763573
7373736,595774106
7373736,65324087
7373736,65285622
7448875,54891395
7448875,54891397
7448946,2577219741
7448946,2613275181
7448946,960100242
8914958,65279851
8914958,65279852
8914960,65279860
8914960,65279862
8914961,65279910
8914961,65279912
8914961,65279914
8914961,65279916
8914961,65279918
8914964,65279961
8914964,65279963
8914964,65279965
8914965,65279971
8914965,325141656
8914965,325141697
8914965,65279973
8914965,65279978
8914965,3069448500
8914965,65279982
8914965,65279985
8914965,65279988
8914965,65279992
8914965,65280002
8914967,65280018
8914967,1157539318
8914967,65280024
8914967,1157539211
8914967,1157540078
8914967,505938453
8914967,65280026
8914967,1157540000
8914967,65280028
8914967,1157539256
8914967,1157540113
8914967,1157540313
8914967,65280029
8914967,1157539513
8914967,65280033
8914967,1157539628
8914967,325141264
8914967,1157540025
8914967,65280038
8914967,65280040
8914970,65280044
8914970,65280049
8914970,65280050
8914972,65280065
8914972,65280069
8914972,65280072
8914972,65280073
8914972,258910926
8914972,258911613
8914972,65280076
8914972,65280083
8914972,65280086
8914972,65280087
8914973,65280094
8914973,65280097
8914973,65280099
8914974,65280104
8914974,258912711
8914974,65280106
8914974,1583149816
8914974,420508875
8914977,65280134
8914977,65280136
8914980,65280154
8914980,65280157
8914980,65280159
8914982,65350664
8914982,1350266839
8914982,1350299800
8914982,65280173
8914982,1350266692
8914982,1350266854
8914982,65280175
8914982,364484683
8914982,65280177
8914982,364484685
8914982,1350266811
8914982,1350266582
8914982,1350266817
8914982,1350266725
8914982,65280180
8914982,1350266718
8914982,1224620008
8914982,1386838005
8914982,1386837998
8914982,65280184
8914983,1350266591
8914983,1350266592
8914983,1350266816
8914983,1350266807
8914983,1350266722
8914983,506107977
8914983,506107979
8914983,65280250
8914983,1350266739
8914983,65280251
8914983,65280256
8914983,65280259
8914983,65280262
8914983,768238700
8914983,1350266798
8914983,768238701
8914983,1350266826
8914983,65280264
8914984,1712572375
8914984,1712572432
8914986,65280347
8914986,1769694503
8914986,830820490
8914986,65280349
8914986,65280356
8914986,65280363
8914986,65280365
8914986,65280368
8914986,65280370
8914986,1769694224
8914986,65280373
8914988,65280377
8914988,2449935562
8914988,2449935568
8914988,2449935552
8914988,65280380
8914988,65280384
8914988,3117933952
8914988,3117933965
8914988,665560064
8914988,2449935577
8914988,65280391
8914988,65280393
8914988,65280395
8914988,665563455
8914988,1241673409
8914988,65280398
8914993,358897396
8914993,663082994
8914993,1723515313
8914993,65280550
8914993,1723515328
8914993,65280543
8914993,1723515334
8914993,351962612
8914994,373402456
8914994,65280632
8914994,65280635
8914996,65280672
8914996,65280690
8914996,65280694
8914997,559544816
8914997,559544798
8914998,65280738
8914998,65280741
8914998,65280743
8914998,65280746
8914998,1350266706
8914998,65280748
8914999,1211594165
8914999,1211585379
8914999,315434492
8914999,65280764
8914999,315434493
8914999,65280767
8914999,315434508
8914999,344386151
8914999,315434444
8914999,1211585383
8915000,65280776
8915000,65280780
8915002,65280798
8915002,754566802
8915002,754574970
8915002,65280803
8915002,754566809
8915002,65280805
8915002,65280807
8915002,65280809
8915002,65280811
8915002,65280819
8915002,65280821
8915002,65280824
8915002,754574411
8915002,754574414
8915002,65280825
8915002,754574420
8915002,65280832
8915002,754574423
8915002,754574425
8915002,65280835
8915003,2325127209
8915003,2325127252
8915003,2325127343
8915003,2325127405
8915003,2325127266
8915003,258958632
8915009,65280896
8915009,65280905
8915010,65280915
8915010,315704877
8915010,65280917
8915010,65280919
8915010,65280920
8915011,65280938
8915011,315704752
8915011,65280945
8915011,315704753
8915011,65280947
8915011,65280949
8915012,65280956
8915012,65280958
8915012,2304346674
8915012,65280960
8915013,2304346659
8915013,65280977
8915013,2304346666
8915013,2304346673
8915013,2304346677
8915013,65280956
8915013,2304346643
8915013,2304346651
8915013,2304346648
8915013,65280981
8915013,2304346647
8915013,65280986
8915013,2304346675
8915013,2304346662
8915013,65280992
8915013,65280994
8915013,2304346639
8915013,2304346671
8915013,2304346641
8915013,65280999
8915013,65281001
8915024,766933836
8915024,766948591
8915024,766948593
8915024,766948595
8915024,766913254
8915027,65344708
8915027,266910523
8915027,65281357
8915028,370812864
8915028,370812732
8915028,65281390
8915028,741726282
8915028,65281394
8915028,65281397
8915029,1202382590
8915029,318304450
8915029,65281413
8915036,65281547
8915036,1809551385
8915036,318256759
8915036,318256758
8915036,318256757
8915036,1809551373
8915036,318256756
8915036,1809551375
8915036,318256755
8915036,318256754
8915036,1809551369
8915036,318256753
8915036,1809551365
8915036,1809551397
8915036,1809551390
8915036,318256752
8915036,318256751
8915036,318256750
8915036,318256749
8915036,318256748
8915036,1809551374
8915036,1809551368
8915036,302912544
8915037,65317150
8915037,65281555
8915038,65281560
8915038,65281563
8915042,65281631
8915042,65281629
8915042,65281624
8915042,728952749
8915042,65281619
8915042,728955371
8915042,728952759
8915042,728954451
8915042,65281615
8915044,65281639
8915044,775312158
8915044,311713937
8915047,65281688
8915047,65281691
8915050,65281752
8915050,728960685
8915050,65281748
8915050,728960764
8915050,65281745
8915051,65281694
8915051,65281760
8915051,260327388
8915051,1012942050
8915051,65281763
8915051,65281765
8915054,741740406
8915054,741740407
8915054,741740342
8915054,65281778
8915054,65281701
8915054,741740408
8915054,741740409
8915054,65281790
8915054,260327465
8915054,741740410
8915054,65281798
8915054,65281800
8915054,741720644
8915056,65281816
8915056,856296920
8915056,65281818
8915056,65281820
8915057,65281824
