id,highway,name,NHS,bicycle,hgv,hgv:national_network,lanes,oneway,ref,source:hgv:national_network,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_type,tiger:reviewed,tiger:separated,tiger:source,tiger:tlid,tiger:zip_left,tiger:zip_right,created_by,tiger:zip_left_1,service,maxspeed,lcn_ref,access,cycleway,name_1,tiger:name_base_1,tiger:name_type_1,foot,tiger:upload_uuid,bridge,layer,old_ref,junction,incline,destination,surface,history,toll,FIXME,noname,motor_vehicle,maxheight,note,sidewalk,fixme,old_name,oneway:bicycle,hgv:state_network,source:hgv:state_network,tiger:name_direction_prefix,tiger:zip_left_2,tiger:zip_right_1,tiger:zip_right_2,trolley_wire,maxweight,parking:condition:both,parking:condition:both:maxstay,parking:condition:both:residents,parking:condition:both:time_interval,parking:condition:left:2,parking:condition:left:2:reason,parking:condition:left:2:time_interval,parking:condition:right:2,parking:condition:right:2:reason,parking:condition:right:2:time_interval,alt_name,cycleway:left,noexit,parking:condition:left,parking:condition:right,parking:condition:right:maxstay,parking:condition:right:residents,parking:condition:right:time_interval,tiger:zip_left_3,tiger:zip_left_4,tiger:zip_right_3,cycleway:right,horse,note:name,source:name,pedestrians,tiger:name_direction_suffix,cutting,psv,source,construction,area,lcn,motorcar,addr:street,tourism,parking:lane:both,wikipedia,name:zh,maxspeed:hgv,tunnel,note:highway,source:destination,old_name_1,tiger:name_base_2,footway,lit,wheelchair,tracktype,vehicle,hazard:bicycle,note:lanes,ele,gnis:county_id,gnis:created,gnis:feature_id,gnis:reviewed,gnis:state_id,note:lcn,paved,bridge:movable,car,width,maxspeed:trailer,bridge:alt_name,bridge:name,bridge:old_name,gosm:sig:8CBDE645,motorcycle,parking:lane:left,parking:lane:right,short_name,railway,waterway,step_count,website,access:backward,man_made,loc_name,official_name,bridge:structure,colour,historic,start_date,wikipedia:de,wikipedia:en,leisure,public,localwiki,access:conditional,smoothness,steps,parking:condition:left:maxstay,parking:condition:left:residents,parking:condition:left:time_interval,name_base,name_type,addr:housenumber,proposed,direction,hov,description,pedestrian,designation,embankment,segregated,bus,trail_visibility,turn:lanes,contact:phone,diet:halal,opening_hours
5004035,residential,Macondray Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5071582,motorway,James Lick Freeway,STRAHNET,no,designated,yes,5,yes,US 101,Title 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7373728,residential,6th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7373736,residential,Bluxome Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7448875,unclassified,Nelson Rising Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7448946,construction,Mission Bay Boulevard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914958,residential,Vandewater Street,,,,,,yes,,,A41,San Francisco, CA,Vandewater,St,no,no,tiger_import_dch_v0.6_20070809,192280362,94133,94133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914960,residential,Hawes Street,,,,,,,,,A41,San Francisco, CA,Hawes,St,no,no,tiger_import_dch_v0.6_20070809,192291158:192291170:192291160:192291162:192297505:192297506:192291113:192291117:192291167,94124,94124,Potlatch 0.10d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914961,tertiary,Hawes Street,,,,,,,,,A41,San Francisco, CA,Hawes,St,no,no,tiger_import_dch_v0.6_20070809,192299783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914964,residential,Hawes Street,,,,,,,,,A41,San Francisco, CA,Hawes,St,no,no,tiger_import_dch_v0.6_20070809,192291241,94124,94124,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914965,residential,12th Avenue,,,,,,,,,A41,San Francisco, CA,12th,Ave,no,,,,94116,94116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914967,residential,12th Avenue,,,,,,,,,A41,San Francisco, CA,12th,Ave,no,no,tiger_import_dch_v0.6_20070809,192282505:192282530,94116,94116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914970,residential,12th Avenue,,,,,2,,,,A41,San Francisco, CA,12th,Ave,no,,,,94116,94116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914972,residential,12th Avenue,,,,,,,,,A41,San Francisco, CA,12th,Ave,,no,tiger_import_dch_v0.6_20070809,192281814:192281817:192281827:192281778:192281779:192281791:192278940:192278942,94118,94118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914973,residential,12th Avenue,,,,,,,,,A41,San Francisco, CA,12th,Ave,,no,tiger_import_dch_v0.6_20070809,192282644:192282645,94116,94116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
